sample,date,laboratory,site,stratigraphy,artefact,part,decoration,LOI,CaO,Fe2O3,TiO2,K2O,SiO2,Al2O3,MgO,MnO,Na2O,P2O5,Zr,Sr,Rb,Zn,Cr,Ni,La,Ba,V,Ce,Y,Th,Pb,Cu
BDX15641,2013-09-06,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13138,amphorae,neck,0,15.19,16.9300,4.4400,1.0220,2.0100,52.4800,19.5100,2.3900,0.0364,0.0400,0.1400,203,684,103,55,82,34,84,461,105,164,29,0,38,15
BDX15642,2013-09-06,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13169,unknown,rim,0,7.35,18.6400,4.5800,0.9970,2.0900,50.5500,19.5400,3.5100,0.0426,0.0000,0.1600,208,486,106,59,85,41,68,368,112,130,32,11,24,20
BDX15643,2013-09-06,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13169,storage jar,rim,0,10.97,19.5000,4.5900,0.9120,2.0000,49.4500,19.7900,3.2000,0.0412,0.1800,0.1300,193,364,103,54,77,30,47,290,107,100,29,11,17,32
BDX15644,2013-09-06,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13169,lid,rim,1,24.17,18.3000,4.7000,1.0200,1.9100,50.6800,19.3000,3.4200,0.0397,0.0800,0.1600,221,399,105,53,81,30,89,295,122,180,31,14,30,16
BDX15645,2014-07-01,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13169,kalathos,rim,1,5.46,15.2100,5.5200,1.0490,1.9900,51.1600,21.7100,2.9100,0.0418,0.1200,0.1500,218,356,107,51,95,27,46,310,103,83,28,14,19,18
BDX15646,2013-09-06,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13169,jar,rim,0,7.51,17.9400,4.9500,1.0280,1.8700,50.7300,19.3200,3.2500,0.0408,0.0900,0.1500,218,377,105,57,83,27,69,296,118,169,31,11,12,12
BDX15647,2013-09-06,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13169,kalathos,rim,1,6.36,16.2000,4.8600,1.0220,1.9200,52.8100,20.1700,2.8700,0.0393,0.0000,0.1500,234,377,106,55,82,40,80,328,116,164,40,12,31,17
BDX15648,2013-09-06,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13169,storage jar,rim,0,7.17,22.5600,4.5200,0.9050,1.8800,47.6800,18.0100,3.4500,0.0436,0.0900,0.1600,205,369,101,58,73,31,75,340,97,170,38,0,21,14
BDX15649,2013-09-06,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13169,cup,rim,0,6.54,16.1000,4.9600,1.0390,2.0600,51.4900,21.0500,2.8800,0.0374,0.1300,0.1400,218,371,119,43,89,34,64,327,112,109,28,11,23,24
BDX15650,2013-09-06,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13169,jar,rim,0,7.05,18.1400,4.9300,1.0440,1.9500,51.0100,19.6200,3.1900,0.0403,0.0000,0.1600,225,406,112,57,87,24,97,399,116,188,34,15,31,18
BDX15651,2013-09-06,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13169,storage jar,rim,1,8.26,18.0200,4.8800,1.0250,1.9500,50.7300,19.3100,3.2500,0.0407,0.0000,0.1600,216,399,109,56,88,31,77,321,119,161,33,14,28,23
BDX15652,2013-09-07,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13169,kalathos,rim,1,6.73,16.0600,5.8400,1.0060,1.7900,50.3400,21.1400,3.2400,0.0391,0.0000,0.1300,208,377,101,50,87,17,48,310,113,104,27,13,25,15
BDX15653,2013-09-07,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13169,unknown,rim,0,5.85,14.3000,5.7900,1.0350,1.8000,51.8000,21.4600,3.0400,0.0379,0.0000,0.1200,212,348,104,48,88,27,57,346,124,66,25,0,25,16
BDX15654,2013-09-07,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13169,kalathos,rim,1,5.80,15.0400,5.3700,1.0240,1.9200,50.9300,21.6600,2.9300,0.0399,0.0000,0.1300,204,361,104,47,88,24,44,318,115,94,28,12,20,14
BDX15655,2013-09-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",21041,unknown,body,0,4.83,11.4500,6.0700,1.1220,1.8700,52.8100,23.4100,2.6700,0.0338,0.0000,0.1200,220,351,98,44,106,22,44,307,130,82,28,16,36,20
BDX15656,2013-09-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",21041,cup,rim,1,4.94,13.1600,6.0200,1.0770,1.9300,52.1900,22.4600,2.8400,0.0355,0.0000,0.1300,210,358,108,47,99,19,39,329,140,81,27,12,32,13
BDX15657,2013-09-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",21041,unknown,rim,0,6.75,16.1000,5.3200,0.9100,2.1400,50.3700,20.5700,3.7400,0.0477,0.0000,0.1900,185,571,112,72,84,32,46,544,116,124,31,11,32,37
BDX15658,2013-09-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13169,tile,body,0,7.13,16.4500,5.3400,0.9110,2.0900,50.4400,20.4900,3.6100,0.0472,0.0000,0.2000,183,619,112,72,86,34,54,447,112,108,30,13,33,35
BDX15659,2013-09-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",13169,tile,body,0,9.28,15.7700,5.2700,0.9530,1.9300,50.1400,21.3200,3.7300,0.0448,0.0000,0.1700,187,610,101,64,77,39,69,428,108,137,33,9,29,33
BDX15660,2013-09-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",21041,cup,body,1,5.53,17.8100,5.3000,0.9070,2.0500,49.4400,20.4600,3.7200,0.0500,0.0000,0.1800,187,468,115,70,89,35,57,438,114,117,32,13,32,33
BDX15661,2013-09-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",21041,cup,rim,1,6.84,16.3200,5.3800,1.0040,1.8600,49.9000,21.1300,3.1700,0.0432,0.0000,0.1900,200,471,102,61,91,41,54,404,120,123,27,12,33,23
BDX15662,2013-09-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",21041,cup,rim,0,9.21,16.5600,5.2900,0.9600,2.0000,50.2100,20.4900,2.7400,0.0447,0.0000,0.1700,192,536,104,61,85,28,57,641,99,96,27,11,37,25
BDX15663,2013-09-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",21041,loom weight,body,0,5.77,12.8400,5.3900,1.0660,1.7200,54.4800,21.1500,2.5500,0.0355,0.0000,0.1600,235,458,93,50,89,27,58,430,103,102,30,16,41,24
BDX15664,2013-09-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",21041,pot,rim,0,3.52,16.2500,5.2900,0.9230,2.1600,50.4200,20.9300,3.8500,0.0511,0.0000,0.2100,186,443,119,74,86,38,56,426,112,117,30,11,26,26
