"material","sample","date","laboratory","site","stratigraphy","artefact","part","decoration","LOI","CaO","Fe2O3","TiO2","K2O","SiO2","Al2O3","MgO","MnO","P2O5","Zr","Sr","Rb","Zn","Cr","Ni","La","Ba","V","Ce","Y","Cu","phase"
"57","céramique","BDX15471","2012-07-13","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15227","lid","rim",TRUE,6.82,17.38,5.15,0.987,1.91,50.86,20.19,3.07,0.0428,0.18,0.0231,0.0451,0.0107,0.006,0.0083,0.0038,0.0084,0.0548,0.0097,0.0126,0.0034,0.0022,2
"58","céramique","BDX15472","2012-07-13","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15227","cup","rim",TRUE,7.95,16.56,5.21,0.993,1.71,51.46,20.37,3.39,0.0411,0.16,0.023,0.0494,0.0095,0.0054,0.0075,0.003,0.0059,0.0476,0.0086,0.0145,0.003,0.0027,2
"59","céramique","BDX15473","2012-07-13","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15227","kalathos","rim",TRUE,16.71,16.25,5.14,0.994,1.66,51.87,19.45,3.82,0.0408,0.15,0.023,0.0766,0.0087,0.0053,0.0062,0.0027,0.0038,0.0889,0.0092,0.009,0.0026,0.002,2
"60","céramique","BDX15474","2012-07-13","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15227","cup","rim",TRUE,8.91,14.57,5.1,1.017,1.56,51.7,20.87,4.16,0.0355,0.17,0.0241,0.0618,0.0089,0.0056,0.0081,0.0028,0.0084,0.0725,0.0104,0.014,0.0033,0.0025,2
"61","céramique","BDX15640","2014-07-01","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","13138","amphorae","neck",FALSE,7.05,16.94,5.61,0.993,1.83,50.04,20.16,3.39,0.0378,0.2,0.0212,0.0468,0.0098,0.005,0.0091,0.0026,0.0037,0.037,0.0102,0.0096,0.0027,0.0017,3
"62","céramique","BDX15641","2013-09-06","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","13138","amphorae","neck",FALSE,15.19,16.93,4.44,1.022,2.01,52.48,19.51,2.39,0.0364,0.14,0.0203,0.0684,0.0103,0.0055,0.0082,0.0034,0.0084,0.0461,0.0105,0.0164,0.0029,0.0015,3
"63","céramique","BDX15642","2013-09-06","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","13169","unknown","rim",FALSE,7.35,18.64,4.58,0.997,2.09,50.55,19.54,3.51,0.0426,0.16,0.0208,0.0486,0.0106,0.0059,0.0085,0.0041,0.0068,0.0368,0.0112,0.013,0.0032,0.002,3
"64","céramique","BDX15643","2013-09-06","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","13169","storage jar","rim",FALSE,10.97,19.5,4.59,0.912,2,49.45,19.79,3.2,0.0412,0.13,0.0193,0.0364,0.0103,0.0054,0.0077,0.003,0.0047,0.029,0.0107,0.01,0.0029,0.0032,3
"65","céramique","BDX15644","2013-09-06","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","13169","lid","rim",TRUE,24.17,18.3,4.7,1.02,1.91,50.68,19.3,3.42,0.0397,0.16,0.0221,0.0399,0.0105,0.0053,0.0081,0.003,0.0089,0.0295,0.0122,0.018,0.0031,0.0016,3
"66","céramique","BDX15645","2014-07-01","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","13169","kalathos","rim",TRUE,5.46,15.21,5.52,1.049,1.99,51.16,21.71,2.91,0.0418,0.15,0.0218,0.0356,0.0107,0.0051,0.0095,0.0027,0.0046,0.031,0.0103,0.0083,0.0028,0.0018,3
"67","céramique","BDX15646","2013-09-06","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","13169","jar","rim",FALSE,7.51,17.94,4.95,1.028,1.87,50.73,19.32,3.25,0.0408,0.15,0.0218,0.0377,0.0105,0.0057,0.0083,0.0027,0.0069,0.0296,0.0118,0.0169,0.0031,0.0012,3
"68","céramique","BDX15647","2013-09-06","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","13169","kalathos","rim",TRUE,6.36,16.2,4.86,1.022,1.92,52.81,20.17,2.87,0.0393,0.15,0.0234,0.0377,0.0106,0.0055,0.0082,0.004,0.008,0.0328,0.0116,0.0164,0.004,0.0017,3
"69","céramique","BDX15648","2013-09-06","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","13169","storage jar","rim",FALSE,7.17,22.56,4.52,0.905,1.88,47.68,18.01,3.45,0.0436,0.16,0.0205,0.0369,0.0101,0.0058,0.0073,0.0031,0.0075,0.034,0.0097,0.017,0.0038,0.0014,3
"70","céramique","BDX15649","2013-09-06","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","13169","cup","rim",FALSE,6.54,16.1,4.96,1.039,2.06,51.49,21.05,2.88,0.0374,0.14,0.0218,0.0371,0.0119,0.0043,0.0089,0.0034,0.0064,0.0327,0.0112,0.0109,0.0028,0.0024,3
"71","céramique","BDX15650","2013-09-06","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","13169","jar","rim",FALSE,7.05,18.14,4.93,1.044,1.95,51.01,19.62,3.19,0.0403,0.16,0.0225,0.0406,0.0112,0.0057,0.0087,0.0024,0.0097,0.0399,0.0116,0.0188,0.0034,0.0018,3
"72","céramique","BDX15651","2013-09-06","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","13169","storage jar","rim",TRUE,8.26,18.02,4.88,1.025,1.95,50.73,19.31,3.25,0.0407,0.16,0.0216,0.0399,0.0109,0.0056,0.0088,0.0031,0.0077,0.0321,0.0119,0.0161,0.0033,0.0023,3
"73","céramique","BDX15652","2013-09-07","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","13169","kalathos","rim",TRUE,6.73,16.06,5.84,1.006,1.79,50.34,21.14,3.24,0.0391,0.13,0.0208,0.0377,0.0101,0.005,0.0087,0.0017,0.0048,0.031,0.0113,0.0104,0.0027,0.0015,3
